fold,endpoint,model,stage,n_cal,n_eval,temperature_target,auroc,auprc,brier,ece15
0,any_abnormal,real_only,raw_eval,741,2960,1.6465036869049072,0.7334510479082506,0.864915378391328,0.22597183550013916,0.1924412633619598
0,any_abnormal,real_only,source_temp_eval,741,2960,1.6465036869049072,0.7334510479082506,0.864915378391328,0.22492594149952405,0.19112519472837447
0,any_abnormal,real_only,target_temp_eval,741,2960,1.6465036869049072,0.7334510479082506,0.864915378391328,0.22122677092048923,0.1824473854288581
0,any_abnormal,rla_selected,raw_eval,741,2960,0.8234911561012268,0.8315796937926374,0.9167491772271151,0.1556660300881159,0.034979789724221125
0,any_abnormal,rla_selected,source_temp_eval,741,2960,0.8234911561012268,0.8315796937926374,0.9167491772271151,0.1564340021384849,0.047025194195275365
0,any_abnormal,rla_selected,target_temp_eval,741,2960,0.8234911561012268,0.8315796937926374,0.9167491772271151,0.15542329168434957,0.02676278226323669
1,any_abnormal,real_only,raw_eval,740,2961,0.8562516570091248,0.7087822270174321,0.8530719980510537,0.21459249628223342,0.15347886483075854
1,any_abnormal,real_only,source_temp_eval,740,2961,0.8562516570091248,0.7087822270174321,0.8530719980510537,0.21439205311683976,0.1508613739946492
1,any_abnormal,real_only,target_temp_eval,740,2961,0.8562516570091248,0.7087822270174321,0.8530719980510537,0.21412020783794972,0.15170917613000892
1,any_abnormal,rla_selected,raw_eval,740,2961,0.8244533538818359,0.816850588201891,0.9062844190656942,0.17289160322787284,0.10571341819958043
1,any_abnormal,rla_selected,source_temp_eval,740,2961,0.8244533538818359,0.816850588201891,0.9062844190656942,0.17248974867952982,0.10462065754670302
1,any_abnormal,rla_selected,target_temp_eval,740,2961,0.8244533538818359,0.816850588201891,0.9062844190656942,0.17211903280057772,0.10252256773242376
2,any_abnormal,real_only,raw_eval,740,2961,0.9793816804885864,0.7062851761612676,0.8467942901320347,0.19319553856304703,0.02978098339142327
2,any_abnormal,real_only,source_temp_eval,740,2961,0.9793816804885864,0.7062851761612676,0.8467942901320347,0.19466700744606838,0.05021111913244293
2,any_abnormal,real_only,target_temp_eval,740,2961,0.9793816804885864,0.7062851761612676,0.8467942901320347,0.19322665548050516,0.02811626815492108
2,any_abnormal,rla_selected,raw_eval,740,2961,1.2096537351608276,0.7709073988048402,0.885696142553194,0.21147439931966858,0.17657280104138565
2,any_abnormal,rla_selected,source_temp_eval,740,2961,1.2096537351608276,0.7709073988048402,0.885696142553194,0.2127511744128931,0.17927359654991176
2,any_abnormal,rla_selected,target_temp_eval,740,2961,1.2096537351608276,0.7709073988048402,0.885696142553194,0.21030078658298615,0.17260301726767371
3,any_abnormal,real_only,raw_eval,740,2960,0.702121376991272,0.6932818783517523,0.8359535648785386,0.21689472220854775,0.14094578684181783
3,any_abnormal,real_only,source_temp_eval,740,2960,0.702121376991272,0.6932818783517523,0.8359535648785386,0.21628851446220873,0.13744371763959123
3,any_abnormal,real_only,target_temp_eval,740,2960,0.702121376991272,0.6932818783517523,0.8359535648785386,0.2168499271034121,0.1351137279068109
3,any_abnormal,rla_selected,raw_eval,740,2960,1.535935401916504,0.8004107956449305,0.8979658265497379,0.21644115984191478,0.20322111852567745
3,any_abnormal,rla_selected,source_temp_eval,740,2960,1.535935401916504,0.8004107956449305,0.8979658265497379,0.21313444248127203,0.19698452290298565
3,any_abnormal,rla_selected,target_temp_eval,740,2960,1.535935401916504,0.8004107956449305,0.8979658265497379,0.20904823932380814,0.18576401788958385
4,any_abnormal,real_only,raw_eval,740,2960,1.3551899015791148e-19,0.6467959310514526,0.8072471367062197,0.21835328773096815,0.12191978765500558
4,any_abnormal,real_only,source_temp_eval,740,2960,1.3551899015791148e-19,0.6467959310514526,0.8072471367062197,0.20981276698586002,0.08533698512694318
4,any_abnormal,real_only,target_temp_eval,740,2960,1.3551899015791148e-19,0.5652533600325822,0.7160554589602748,0.34087837837837837,0.3408783783783784
4,any_abnormal,rla_selected,raw_eval,740,2960,0.8129740357398987,0.7659185255735813,0.8873126578139703,0.18380429564968057,0.08632245607976173
4,any_abnormal,rla_selected,source_temp_eval,740,2960,0.8129740357398987,0.7659185255735813,0.8873126578139703,0.18379303693917157,0.08722122086061014
4,any_abnormal,rla_selected,target_temp_eval,740,2960,0.8129740357398987,0.7659185255735813,0.8873126578139703,0.1852094799516563,0.0791564533828448
