endpoint,stage,model,n_folds,auroc_mean,auroc_p2p5,auroc_p97p5,auprc_mean,auprc_p2p5,auprc_p97p5,brier_mean,brier_p2p5,brier_p97p5,ece15_mean,ece15_p2p5,ece15_p97p5,delta_vs_real_only_auroc_mean,delta_vs_real_only_auroc_p2p5,delta_vs_real_only_auroc_p97p5,delta_vs_real_only_auprc_mean,delta_vs_real_only_auprc_p2p5,delta_vs_real_only_auprc_p97p5
any_abnormal,calibrated,real_only,5,0.696412279424556,0.651606983095903,0.7254077521293777,0.8407334640778723,0.8098476791538514,0.8608702787572808,0.212906506220191,0.19603924846634468,0.22636162653774924,0.12470533223197722,0.05354276119551035,0.1901571266289807,0.0,0.0,0.0,0.0,0.0,0.0
any_abnormal,calibrated,rla_selected,5,0.7970033684606737,0.7695843113387351,0.8280735677552968,0.8982330537177837,0.8838329734650341,0.9140735718554267,0.18830283712458123,0.15904994002958933,0.21433722761751745,0.12436528747147739,0.05161128777931473,0.1967977091390529,0.10059108903611766,0.06597629692727815,0.12346055289474517,0.05749958963991142,0.037729570983563485,0.08102263021598664
any_abnormal,raw,real_only,5,0.696412279424556,0.651606983095903,0.7254077521293777,0.8407334640778723,0.8098476791538514,0.8608702787572808,0.2146532712084424,0.19533425825346679,0.22755918430955294,0.12900251097065035,0.03773636555704291,0.19161781762072086,0.0,0.0,0.0,0.0,0.0,0.0
any_abnormal,raw,rla_selected,5,0.7970033684606737,0.7695843113387351,0.8280735677552968,0.8982330537177837,0.8838329734650341,0.9140735718554267,0.18862368738761542,0.15835353548052328,0.21727893992259628,0.12313579631909097,0.0427022514153374,0.2021568064722315,0.10059108903611766,0.06597629692727815,0.12346055289474517,0.05749958963991142,0.037729570983563485,0.08102263021598664
mi,calibrated,real_only,5,0.6883504504049615,0.6120941445662885,0.7477541982276656,0.02506728763277506,0.01915446882318917,0.03542220320416611,0.21670744105773254,0.137445745128195,0.2694447898538484,0.4271792352938951,0.30658707836834764,0.5116395830810919,0.0,0.0,0.0,0.0,0.0,0.0
mi,calibrated,rla_selected,5,0.7056369876721028,0.6127173237438794,0.7821629434051858,0.025826874509676002,0.02066750996688331,0.0355758559073062,0.23340597949653344,0.1410222866452716,0.2703812319194258,0.4428447483058898,0.3078664828435884,0.5116395830810919,0.01728653726714146,0.0,0.04430205700629537,0.0007595868769008999,0.0,0.0021889193209334097
mi,raw,real_only,5,0.6883504504049615,0.6120941445662885,0.7477541982276656,0.02506728763277506,0.01915446882318917,0.03542220320416611,0.23519723153037803,0.1457005566245369,0.33480898600761494,0.4487181734483957,0.3332119517942291,0.5609492693964777,0.0,0.0,0.0,0.0,0.0,0.0
mi,raw,rla_selected,5,0.7056369876721028,0.6127173237438794,0.7821629434051858,0.025826874509676002,0.02066750996688331,0.0355758559073062,0.25036278601225515,0.14892543688944251,0.33480898600761494,0.45850195902153423,0.33343450472099057,0.5611221876208846,0.01728653726714146,0.0,0.04430205700629537,0.0007595868769008999,0.0,0.0021889193209334097
