model,stage,n_folds,auroc_mean,auprc_mean,brier_mean,ece15_mean
real_only,raw_eval,5,0.697719252098031,0.8415964736318349,0.21380157605698707,0.127713337216193
real_only,source_temp_eval,5,0.697719252098031,0.8415964736318349,0.2120172567021002,0.1229956781244002
real_only,target_temp_eval,5,0.681410737894257,0.8233581380826459,0.23726038794414692,0.1676529871997955
rla_selected,raw_eval,5,0.797133400403576,0.8988016446419422,0.18805549762545054,0.12136191671412529
rla_selected,source_temp_eval,5,0.797133400403576,0.8988016446419422,0.1877204809302703,0.1230250384110972
rla_selected,target_temp_eval,5,0.797133400403576,0.8988016446419422,0.18642016606867556,0.11336176770715256
