scarcity,n,n_deploy,deploy_rate,mean_delta,median_delta,p10_delta,p90_delta,harm_lt0,harm_lt_0p01,harm_given_deploy_lt0,harm_given_deploy_lt_0p01,min_delta,max_delta
0.0,250.0,175.0,0.7,0.0017132067186300072,0.0,-0.007608770830948189,0.014820522573680599,0.316,0.084,0.4514285714285714,0.12,-0.035197991447299015,0.030242670438418023
0.25,250.0,143.0,0.572,0.004872121877276738,0.0,-0.001601683728642414,0.018653660482431698,0.132,0.044,0.23076923076923078,0.07692307692307693,-0.03423450568170974,0.06102204982677795
0.5,250.0,148.0,0.592,0.011160866586270631,0.0021681042169923725,0.0,0.03573113647595414,0.064,0.004,0.10810810810810811,0.006756756756756757,-0.012607824076803442,0.11982730025447924
1.0,250.0,131.0,0.524,0.011020104838945603,0.0,0.0,0.028211581461186873,0.028,0.004,0.05343511450381679,0.007633587786259542,-0.016078594405160074,0.10949210342230387
