stage,n_ecg,n_patients,n_positive,real_only_auroc,rla_selected_auroc,delta_auroc,real_only_auprc,rla_selected_auprc,delta_auprc,real_only_brier,rla_selected_brier,delta_brier,real_only_ece15,rla_selected_ece15,delta_ece15,real_only_calibration_intercept,rla_selected_calibration_intercept,delta_calibration_intercept,real_only_calibration_slope,rla_selected_calibration_slope,delta_calibration_slope
raw,18503,18503,12595,0.6847759734212269,0.7829414459585821,0.09816547253735519,0.8305011139946044,0.89162177312722,0.06112065913261566,0.21465294921927747,0.18862244919910295,-0.026030500020174513,0.12768741168409128,0.12114475343892016,-0.006542658245171126,0.610802412033081,0.6754363179206848,0.06463390588760376,0.9678865671157837,1.0726975202560425,0.10481095314025879
calibrated,18503,18503,12595,0.6885562077567293,0.7837043076545136,0.09514809989778428,0.8375861337212991,0.8917169289428016,0.05413079522150255,0.21290649149758262,0.1883017477862569,-0.024604743711325705,0.12467808557958945,0.12156657792886454,-0.003111507650724918,0.6047397255897522,0.6789502501487732,0.074210524559021,0.959421694278717,1.10844087600708,0.14901918172836304
