mode,n_reports,deploy_rate,mean_test_primary,mean_real_only_test_primary,mean_delta,deploy_only_mean_delta,harm_rate_lt0,harm_rate_lt_0p01,policy_manifest_sha256
baseline_rla,1000,0.192,0.296336228968018,0.291525489631221,0.00481073933679696,0.0250559340458175,0.007,0.0,1170d044a59e4c26da0b21433d06e240c04c67ca3fc320857de7382153335e12
no_cert,1000,0.597,0.2978604854388716,0.2906689104335908,0.007191575005280745,0.012046189288577461,0.135,0.034,1170d044a59e4c26da0b21433d06e240c04c67ca3fc320857de7382153335e12
always_aug_r010,1000,1.0,0.2857595342835497,0.2877519201510555,-0.001992385867505763,-0.001992385867505763,0.545,0.271,1170d044a59e4c26da0b21433d06e240c04c67ca3fc320857de7382153335e12
