scarcity,n,n_deploy,deploy_rate,mean_delta,median_delta,p10_delta,p90_delta,harm_lt0,harm_lt_0p01,harm_given_deploy_lt0,harm_given_deploy_lt_0p01,min_delta,max_delta
0.0,250.0,250.0,1.0,0.00022386767380970962,0.0005116337535694404,-0.012244241896497357,0.012231427871814768,0.488,0.16,0.488,0.16,-0.03442466796642482,0.030889903958815274
0.25,250.0,250.0,1.0,-0.004817673199015881,-0.003890851648211485,-0.02421544028376175,0.011356109895376403,0.616,0.308,0.616,0.308,-0.060326618509392665,0.05852655179105337
0.5,250.0,250.0,1.0,-0.0009659791632356629,-0.0007300906585474554,-0.02721546467903063,0.0268382343965424,0.508,0.308,0.508,0.308,-0.0648332714022758,0.07141952503033644
1.0,250.0,250.0,1.0,-0.002409758781581218,-0.002880722820816334,-0.029778376378214663,0.028421392757722076,0.568,0.308,0.568,0.308,-0.09872450925570392,0.10934961986924285
