scarcity,n,n_deploy,deploy_rate,mean_delta,median_delta,p10_delta,p90_delta,harm_lt0,harm_lt_0p01,harm_given_deploy_lt0,harm_given_deploy_lt_0p01,min_delta,max_delta
0.0,250.0,21.0,0.084,0.0009356918145836636,0.0,0.0,0.0,0.008,0.0,0.09523809523809523,0.0,-0.006095274144813562,0.04577753922950889
0.25,250.0,29.0,0.116,0.002215049101632038,0.0,0.0,0.004996045079573734,0.004,0.0,0.034482758620689655,0.0,-0.005162545733959467,0.046883834919872136
0.5,250.0,62.0,0.248,0.006266014394629228,0.0,0.0,0.0245658163166311,0.004,0.0,0.016129032258064516,0.0,-0.0019927218606469455,0.07408186027232863
1.0,250.0,80.0,0.32,0.00982620203634291,0.0,0.0,0.03511340587609542,0.012,0.0,0.0375,0.0,-0.0036237690814243106,0.11330304404704314
